name,location,date,time,description,link,embedded
Campus Move!,"4647 State St, Pilsen, Chicago, IL",5/15/2025,10:00 AM,Volunteers needed to assist with campus move at North Lawndale Prep Charter - Christ. Help create a safe and welcoming environment for students.,https://www.volunteermatch.org/search/opp3926941.jsp,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Help Us fight Hunger on the Streets of Chicago,"6673 Wabash Ave, Logan Square, Chicago, IL",5/16/2025,9:00 AM,Join Outreach Chicago in their mission to combat hunger. Distribute food and essential items to those in need.,https://www.volunteermatch.org/search/opp3237475.jsp,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Friendship Volunteer Needed for Unity Hospice Patients,"2364 Western Ave, Lakeview, Chicago, IL",5/17/2025,2:00 PM,Provide companionship and support to hospice patients at Unity Hospice. Bring joy and comfort to those in need.,https://createthegood.aarp.org/opportunity-details.163766,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Human Rights Committee Member (Unassociated),"9873 Pulaski Rd, Loop, Chicago, IL",5/18/2025,11:00 AM,Join the Human Rights Committee at Association House of Chicago. Advocate for human rights and social justice.,https://www.idealist.org/en/volunteer-opportunity/f5977bba3f894905a67c35adcbf1cb9c-human-rights-committee-member-unassociated-association-house-of-chicago-chicago,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Hospice Volunteers Wanted! - Brookfield area,"230 Clark St, Lakeview, Chicago, IL",5/19/2025,10:00 AM,Assist Three Oaks Hospice in providing care and support to patients in the Brookfield area.,https://www.volunteermatch.org/search/opp3926614.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
Pet therapy volunteers wanted! - Brookfield area,"5559 Clark St, Lakeview, Chicago, IL",5/20/2025,3:00 PM,Bring joy and comfort to patients through pet therapy at Three Oaks Hospice.,https://www.volunteermatch.org/search/opp3926611.jsp,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
Chipride Volunteering + Chicago Pride Parade 2025,"5212 Halsted St, Rogers Park, Chicago, IL",5/21/2025,12:00 PM,Volunteer with CHIPRIDE VOLUNTEERING INC during the Chicago Pride Parade. Support LGBTQ+ community events.,https://www.volunteermatch.org/search/opp3926583.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Join Coffee, Hip-Hop & Mental Health","1800 Michigan Ave, Pilsen, Chicago, IL",5/22/2025,12:00 PM,"Participate in a unique event combining coffee, hip-hop, and mental health discussions. Support mental health initiatives.",https://www.idealist.org/en/volunteer-opportunity/87125d8f92644415bc14e6abb51217bd-join-coffee-hip-hop-mental-health-coffee-hip-hop-mental-health-chicago,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]"
Kidney Testing Event,"6357 Clark St, West Loop, Chicago, IL",5/23/2025,9:00 AM,Assist with kidney testing event at Above and Beyond Family Recovery Center. Help provide essential health services.,https://www.volunteermatch.org/search/opp3925611.jsp,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Volunteer Mentor,"5680 Halsted St, Bronzeville, Chicago, IL",5/24/2025,10:00 AM,Mentor youth at GRIP Outreach For Youth. Provide guidance and support to help them achieve their goals.,https://www.volunteermatch.org/search/opp3925482.jsp,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
Walk for Hunger 2025,"2036 Michigan Ave, Pilsen, Chicago, IL",5/25/2025,8:00 AM,Participate in the Walk for Hunger event organized by Breakthrough Urban Ministries. Help raise awareness and funds to combat hunger.,https://www.volunteermatch.org/search/opp3925374.jsp,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Food Pantry Volunteer,"9257 Halsted St, Logan Square, Chicago, IL",5/26/2025,9:00 AM,Volunteer at the food pantry operated by Above and Beyond Family Recovery Center. Help distribute food to those in need.,https://www.volunteermatch.org/search/opp3869335.jsp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Recovery Dharma Host,"6737 Clark St, Wicker Park, Chicago, IL",5/27/2025,6:00 PM,Host a Recovery Dharma meeting at Above and Beyond Family Recovery Center. Support individuals in recovery.,https://www.volunteermatch.org/search/opp3839304.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Green-Thumbed Community Garden Volunteer,"9046 Michigan Ave, Rogers Park, Chicago, IL",5/28/2025,10:00 AM,Assist with community garden maintenance at Above and Beyond Family Recovery Center. Help grow fresh produce for the community.,https://www.volunteermatch.org/search/opp3839300.jsp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Cat Attendant,"8938 State St, Wicker Park, Chicago, IL",5/29/2025,11:00 AM,Care for cats at Famous Fido Rescue & Adoption Alliance. Assist with daily tasks and provide companionship.,https://www.volunteermatch.org/search/opp3769321.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Cat Carer,"7417 Western Ave, West Town, Chicago, IL",5/30/2025,2:00 PM,Help care for cats at Famous Fido Rescue & Adoption Alliance. Ensure the well-being of the animals.,https://www.volunteermatch.org/search/opp3692213.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Event Coordinator,"1000 Ashland Ave, Wicker Park, Chicago, IL",5/31/2025,10:00 AM,Coordinate events for Famous Fido Rescue & Adoption Alliance. Help plan and execute successful events.,https://www.volunteermatch.org/search/opp3690162.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Vet Transporter,"7790 Michigan Ave, West Town, Chicago, IL",6/1/2025,9:00 AM,Transport animals for veterinary care at Famous Fido Rescue & Adoption Alliance. Ensure safe and timely transportation.,https://www.volunteermatch.org/search/opp3690114.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Rescue Store Online Sales Associate,"4273 Halsted St, Wicker Park, Chicago, IL",6/2/2025,11:00 AM,Assist with online sales at the rescue store for Famous Fido Rescue & Adoption Alliance. Help manage online orders and customer service.,https://www.volunteermatch.org/search/opp3431218.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Thrift Store Manager,"5776 Halsted St, Wicker Park, Chicago, IL",6/3/2025,10:00 AM,Manage the thrift store operations for Famous Fido Rescue & Adoption Alliance. Oversee daily activities and sales.,https://www.volunteermatch.org/search/opp2590771.jsp,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Basic Maintenance Kennel Help,"6768 Clark St, West Town, Chicago, IL",3/15/2024,10:00 AM,Assist with basic maintenance tasks at the kennel to support animal rescue efforts.,https://www.volunteermatch.org/search/opp1256822.jsp,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
Kennel Help,"8669 Michigan Ave, West Town, Chicago, IL",3/16/2024,2:00 PM,Help with daily kennel tasks to support animal rescue operations.,https://www.volunteermatch.org/search/opp1256807.jsp,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
12th Annual Head for the Cure 5k - Chicago,"414 Halsted St, Lakeview, Chicago, IL",4/20/2024,8:00 AM,Volunteer at the 12th Annual Head for the Cure 5k event to support cancer research.,https://www.volunteermatch.org/search/opp3925257.jsp,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
